Position,Bar,Beat,Tick,Type,Channel,Note,Note_Name,Velocity,Duration_Ticks,Off_Position,Controller,Value
1.1.0,1,1,0,Meta_track_name,,,,,,,,Tom GP-200
2.1.160,2,1,160,program_change,2,,,,,,,20
14.4.320,14,4,320,program_change,2,,,,,,,21
18.4.446,18,4,446,program_change,2,,,,,,,20
22.4.320,22,4,320,program_change,2,,,,,,,22
25.4.437,25,4,437,program_change,2,,,,,,,20
47.1.0,47,1,0,program_change,2,,,,,,,21
50.4.320,50,4,320,program_change,2,,,,,,,20
62.4.320,62,4,320,program_change,2,,,,,,,23
66.2.360,66,2,360,program_change,2,,,,,,,18
71.1.472,71,1,472,program_change,2,,,,,,,20
95.1.0,95,1,0,program_change,2,,,,,,,18
95.1.0,95,1,0,Meta_end_of_track,,,,,,,,
