Position,Bar,Beat,Tick,Type,Channel,Note,Note_Name,Velocity,Duration_Ticks,Off_Position,Controller,Value
1.1.0,1,1,0,Meta_track_name,,,,,,,,Tristan Kemper
1.2.0,1,2,0,control_change,1,,,,,,50,1
1.3.0,1,3,0,program_change,1,,,,,,,24
1.3.0,1,3,0,control_change,1,,,,,,47,1
10.4.402,10,4,402,program_change,1,,,,,,,25
14.2.400,14,2,400,program_change,1,,,,,,,24
42.4.400,42,4,400,program_change,1,,,,,,,25
46.2.400,46,2,400,program_change,1,,,,,,,24
69.4.400,69,4,400,program_change,1,,,,,,,25
73.4.400,73,4,400,program_change,1,,,,,,,24
73.4.400,73,4,400,Meta_end_of_track,,,,,,,,
