Position,Bar,Beat,Tick,Type,Channel,Note,Note_Name,Velocity,Duration_Ticks,Off_Position,Controller,Value
1.1.0,1,1,0,Meta_track_name,,,,,,,,Still Counting
1.1.0,1,1,0,Meta_time_signature,,,,,,,,
1.1.0,1,1,0,Meta_set_tempo,,,,,,,,612244
1.2.0,1,2,0,Meta_set_tempo,,,,,,,,612244
1.3.0,1,3,0,Meta_set_tempo,,,,,,,,612244
1.4.0,1,4,0,Meta_set_tempo,,,,,,,,612244
2.1.0,2,1,0,Meta_set_tempo,,,,,,,,612244
2.2.0,2,2,0,Meta_set_tempo,,,,,,,,612244
2.3.0,2,3,0,Meta_set_tempo,,,,,,,,612244
2.4.0,2,4,0,Meta_set_tempo,,,,,,,,612244
3.1.0,3,1,0,Meta_set_tempo,,,,,,,,612244
3.2.0,3,2,0,Meta_set_tempo,,,,,,,,612244
3.3.0,3,3,0,Meta_set_tempo,,,,,,,,612244
3.4.0,3,4,0,Meta_set_tempo,,,,,,,,612244
4.1.0,4,1,0,Meta_set_tempo,,,,,,,,612244
4.2.0,4,2,0,Meta_set_tempo,,,,,,,,612244
4.3.0,4,3,0,Meta_set_tempo,,,,,,,,612244
4.4.0,4,4,0,Meta_set_tempo,,,,,,,,612244
5.1.0,5,1,0,Meta_set_tempo,,,,,,,,612244
5.2.0,5,2,0,Meta_set_tempo,,,,,,,,612244
5.3.0,5,3,0,Meta_set_tempo,,,,,,,,612244
5.4.0,5,4,0,Meta_set_tempo,,,,,,,,612244
6.1.0,6,1,0,Meta_set_tempo,,,,,,,,612244
6.2.0,6,2,0,Meta_set_tempo,,,,,,,,612244
6.3.0,6,3,0,Meta_set_tempo,,,,,,,,612244
6.4.0,6,4,0,Meta_set_tempo,,,,,,,,612244
7.1.0,7,1,0,Meta_set_tempo,,,,,,,,612244
7.2.0,7,2,0,Meta_set_tempo,,,,,,,,612244
7.3.0,7,3,0,Meta_set_tempo,,,,,,,,612244
7.4.0,7,4,0,Meta_set_tempo,,,,,,,,612244
8.1.0,8,1,0,Meta_set_tempo,,,,,,,,612244
8.2.0,8,2,0,Meta_set_tempo,,,,,,,,612244
8.3.0,8,3,0,Meta_set_tempo,,,,,,,,612244
8.4.0,8,4,0,Meta_set_tempo,,,,,,,,612244
9.1.0,9,1,0,Meta_set_tempo,,,,,,,,612244
9.2.0,9,2,0,Meta_set_tempo,,,,,,,,612244
9.3.0,9,3,0,Meta_set_tempo,,,,,,,,612244
9.4.0,9,4,0,Meta_set_tempo,,,,,,,,612244
10.1.0,10,1,0,Meta_set_tempo,,,,,,,,612244
10.2.0,10,2,0,Meta_set_tempo,,,,,,,,612244
10.3.0,10,3,0,Meta_set_tempo,,,,,,,,612244
10.4.0,10,4,0,Meta_set_tempo,,,,,,,,612244
11.1.0,11,1,0,Meta_set_tempo,,,,,,,,612244
11.2.0,11,2,0,Meta_set_tempo,,,,,,,,612244
11.3.0,11,3,0,Meta_set_tempo,,,,,,,,612244
11.4.0,11,4,0,Meta_set_tempo,,,,,,,,612244
12.1.0,12,1,0,Meta_set_tempo,,,,,,,,612244
12.2.0,12,2,0,Meta_set_tempo,,,,,,,,612244
12.3.0,12,3,0,Meta_set_tempo,,,,,,,,612244
12.4.0,12,4,0,Meta_set_tempo,,,,,,,,612244
13.1.0,13,1,0,Meta_set_tempo,,,,,,,,612244
13.2.0,13,2,0,Meta_set_tempo,,,,,,,,612244
13.3.0,13,3,0,Meta_set_tempo,,,,,,,,612244
13.4.0,13,4,0,Meta_set_tempo,,,,,,,,612244
14.1.0,14,1,0,Meta_set_tempo,,,,,,,,612244
14.2.0,14,2,0,Meta_set_tempo,,,,,,,,612244
14.3.0,14,3,0,Meta_set_tempo,,,,,,,,612244
14.4.0,14,4,0,Meta_set_tempo,,,,,,,,612244
15.1.0,15,1,0,Meta_set_tempo,,,,,,,,612244
15.2.0,15,2,0,Meta_set_tempo,,,,,,,,612244
15.3.0,15,3,0,Meta_set_tempo,,,,,,,,612244
15.4.0,15,4,0,Meta_set_tempo,,,,,,,,612244
16.1.0,16,1,0,Meta_set_tempo,,,,,,,,612244
16.2.0,16,2,0,Meta_set_tempo,,,,,,,,612244
16.3.0,16,3,0,Meta_set_tempo,,,,,,,,612244
16.4.0,16,4,0,Meta_set_tempo,,,,,,,,612244
17.1.0,17,1,0,Meta_set_tempo,,,,,,,,612244
17.2.0,17,2,0,Meta_set_tempo,,,,,,,,612244
17.3.0,17,3,0,Meta_set_tempo,,,,,,,,612244
17.4.0,17,4,0,Meta_set_tempo,,,,,,,,612244
18.1.0,18,1,0,Meta_set_tempo,,,,,,,,612244
18.2.0,18,2,0,Meta_set_tempo,,,,,,,,612244
18.3.0,18,3,0,Meta_set_tempo,,,,,,,,612244
18.4.0,18,4,0,Meta_set_tempo,,,,,,,,612244
19.1.0,19,1,0,Meta_set_tempo,,,,,,,,612244
19.2.0,19,2,0,Meta_set_tempo,,,,,,,,612244
19.3.0,19,3,0,Meta_set_tempo,,,,,,,,612244
19.4.0,19,4,0,Meta_set_tempo,,,,,,,,612244
20.1.0,20,1,0,Meta_set_tempo,,,,,,,,612244
20.2.0,20,2,0,Meta_set_tempo,,,,,,,,612244
20.3.0,20,3,0,Meta_set_tempo,,,,,,,,612244
20.4.0,20,4,0,Meta_set_tempo,,,,,,,,612244
21.1.0,21,1,0,Meta_set_tempo,,,,,,,,612244
21.2.0,21,2,0,Meta_set_tempo,,,,,,,,612244
21.3.0,21,3,0,Meta_set_tempo,,,,,,,,612244
21.4.0,21,4,0,Meta_set_tempo,,,,,,,,612244
22.1.0,22,1,0,Meta_set_tempo,,,,,,,,612244
22.2.0,22,2,0,Meta_set_tempo,,,,,,,,612244
22.3.0,22,3,0,Meta_set_tempo,,,,,,,,612244
22.4.0,22,4,0,Meta_set_tempo,,,,,,,,612244
23.1.0,23,1,0,Meta_set_tempo,,,,,,,,408289
23.1.0,23,1,0,Meta_set_tempo,,,,,,,,285714
23.2.0,23,2,0,Meta_set_tempo,,,,,,,,285714
23.3.0,23,3,0,Meta_set_tempo,,,,,,,,285714
23.4.0,23,4,0,Meta_set_tempo,,,,,,,,285714
24.1.0,24,1,0,Meta_set_tempo,,,,,,,,285714
24.2.0,24,2,0,Meta_set_tempo,,,,,,,,285714
24.3.0,24,3,0,Meta_set_tempo,,,,,,,,285714
24.4.0,24,4,0,Meta_set_tempo,,,,,,,,285714
25.1.0,25,1,0,Meta_set_tempo,,,,,,,,285714
25.2.0,25,2,0,Meta_set_tempo,,,,,,,,285714
25.3.0,25,3,0,Meta_set_tempo,,,,,,,,285714
25.4.0,25,4,0,Meta_set_tempo,,,,,,,,285714
26.1.0,26,1,0,Meta_set_tempo,,,,,,,,285714
26.2.0,26,2,0,Meta_set_tempo,,,,,,,,285714
26.3.0,26,3,0,Meta_set_tempo,,,,,,,,285714
26.4.0,26,4,0,Meta_set_tempo,,,,,,,,285714
27.1.0,27,1,0,Meta_set_tempo,,,,,,,,285714
27.2.0,27,2,0,Meta_set_tempo,,,,,,,,285714
27.3.0,27,3,0,Meta_set_tempo,,,,,,,,285714
27.4.0,27,4,0,Meta_set_tempo,,,,,,,,285714
28.1.0,28,1,0,Meta_set_tempo,,,,,,,,285714
28.2.0,28,2,0,Meta_set_tempo,,,,,,,,285714
28.3.0,28,3,0,Meta_set_tempo,,,,,,,,285714
28.4.0,28,4,0,Meta_set_tempo,,,,,,,,285714
29.1.0,29,1,0,Meta_set_tempo,,,,,,,,285714
29.2.0,29,2,0,Meta_set_tempo,,,,,,,,285714
29.3.0,29,3,0,Meta_set_tempo,,,,,,,,285714
29.4.0,29,4,0,Meta_set_tempo,,,,,,,,285714
30.1.0,30,1,0,Meta_set_tempo,,,,,,,,285714
30.2.0,30,2,0,Meta_set_tempo,,,,,,,,285714
