Position,Bar,Beat,Tick,Type,Channel,Note,Note_Name,Velocity,Duration_Ticks,Off_Position,Controller,Value
1.1.0,1,1,0,Meta_track_name,,,,,,,,Tom GP-200
1.1.120,1,1,120,program_change,2,,,,,,,17
35.4.211,35,4,211,program_change,2,,,,,,,16
39.4.216,39,4,216,program_change,2,,,,,,,17
87.4.72,87,4,72,program_change,2,,,,,,,16
91.4.77,91,4,77,program_change,2,,,,,,,17
155.4.4,155,4,4,program_change,2,,,,,,,18
164.1.0,164,1,0,program_change,2,,,,,,,17
179.4.360,179,4,360,program_change,2,,,,,,,19
191.4.240,191,4,240,program_change,2,,,,,,,17
191.4.240,191,4,240,Meta_end_of_track,,,,,,,,
