Position,Bar,Beat,Tick,Type,Channel,Note,Note_Name,Velocity,Duration_Ticks,Off_Position,Controller,Value
1.1.0,1,1,0,Meta_track_name,,,,,,,,Tom GP-200
1.2.0,1,2,0,control_change,2,,,,,,69,1
1.3.0,1,3,0,program_change,2,,,,,,,24
10.4.402,10,4,402,program_change,2,,,,,,,25
14.2.400,14,2,400,program_change,2,,,,,,,24
42.4.400,42,4,400,program_change,2,,,,,,,25
46.2.400,46,2,400,program_change,2,,,,,,,24
69.4.400,69,4,400,program_change,2,,,,,,,25
73.4.400,73,4,400,program_change,2,,,,,,,24
74.1.0,74,1,0,control_change,2,,,,,,69,127
77.1.0,77,1,0,control_change,2,,,,,,69,1
77.1.0,77,1,0,Meta_end_of_track,,,,,,,,
